Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,PriceRange
9300.0,2020.0,39000.0,1197.0,3995.0,1775.0,1505.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,0
7500.0,2019.0,31000.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,0
33600.0,2018.0,20000.0,2143.0,4630.0,1777.0,1432.0,5.0,56.0,Diesel,Automatic,First,Individual,FWD,2
18240.0,2021.0,14000.0,1997.0,3985.0,1820.0,1844.0,4.0,57.0,Petrol,Manual,First,Individual,AWD,1
10788.0,2018.0,13066.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,0
7860.0,2016.0,38779.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,0
19800.0,2014.0,53089.0,1796.0,4868.0,1854.0,1470.0,5.0,80.0,Petrol,Automatic,Second,Individual,RWD,2
10500.0,2015.0,67000.0,2179.0,4456.0,1820.0,1995.0,8.0,60.0,Diesel,Manual,First,Individual,RWD,1
3000.0,2011.0,64000.0,1197.0,3585.0,1595.0,1550.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
5100.0,2014.0,74000.0,1461.0,4331.0,1822.0,1671.0,5.0,50.0,Diesel,Manual,Second,Individual,FWD,0
2640.0,2012.0,54000.0,998.0,3539.0,1475.0,1700.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
7500.0,2015.0,76000.0,1364.0,3775.0,1695.0,1510.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,1
9000.0,2010.0,112000.0,1995.0,4841.0,1846.0,1468.0,5.0,70.0,Diesel,Automatic,Second,Individual,RWD,3
22200.0,2016.0,72000.0,2755.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Automatic,First,Individual,RWD,1
3720.0,2014.0,82000.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Otro,Manual,First,Individual,FWD,0
12660.0,2020.0,15000.0,998.0,3995.0,1790.0,1647.0,5.0,45.0,Petrol,Automatic,First,Individual,FWD,1
7800.0,2013.0,83466.0,2199.0,4660.0,1890.0,1760.0,7.0,70.0,Diesel,Automatic,First,Individual,AWD,0
23940.0,2018.0,35123.0,2393.0,4735.0,1830.0,1795.0,8.0,55.0,Diesel,Manual,First,Individual,RWD,1
6540.0,2019.0,28000.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,0
7500.0,2022.0,7000.0,1196.0,3675.0,1475.0,1825.0,7.0,40.0,Petrol,Manual,First,Individual,RWD,0
6300.0,2019.0,50000.0,998.0,3655.0,1620.0,1675.0,5.0,60.0,Otro,Manual,First,Individual,FWD,0
3420.0,2016.0,22346.0,796.0,3395.0,1490.0,1475.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
9900.0,2021.0,8499.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,0
4980.0,2014.0,62000.0,1582.0,4370.0,1700.0,1475.0,5.0,43.0,Diesel,Manual,Second,Individual,FWD,0
21600.0,2012.0,74073.0,1995.0,4648.0,1881.0,1661.0,5.0,67.0,Diesel,Automatic,First,Individual,AWD,3
7800.0,2017.0,49422.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Automatic,First,Individual,FWD,0
11339.988,2017.0,41417.0,1197.0,3971.0,1682.0,1469.0,5.0,45.0,Petrol,Automatic,First,Individual,FWD,0
12000.0,2018.0,38000.0,2179.0,4788.0,1903.0,1791.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,0
