Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,PriceRange
5940.0,2017.0,38258.0,1248.0,3840.0,1735.0,1530.0,5.0,37.0,Diesel,Manual,Second,Individual,FWD,0
5100.0,2014.0,24000.0,1598.0,4386.0,1699.0,1466.0,5.0,55.0,Petrol,Automatic,Second,Individual,FWD,1
7800.0,2016.0,76584.0,1461.0,4331.0,1822.0,1671.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,0
21000.0,2014.0,69000.0,1995.0,4899.0,2094.0,1464.0,5.0,65.0,Diesel,Automatic,Second,Individual,RWD,3
21000.0,2021.0,14000.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,0
7080.0,2018.0,68500.0,1248.0,3995.0,1735.0,1515.0,5.0,37.0,Diesel,Manual,First,Individual,FWD,0
11700.0,2017.0,78000.0,2179.0,4585.0,1890.0,1785.0,7.0,70.0,Diesel,Manual,First,Individual,AWD,1
34200.0,2018.0,45000.0,1999.0,4795.0,1967.0,1416.0,5.0,56.0,Diesel,Automatic,First,Individual,RWD,4
150000.0,2021.0,9500.0,2998.0,5151.0,2000.0,1805.0,6.0,83.0,Petrol,Automatic,First,Individual,AWD,3
8340.0,2017.0,51292.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,0
2100.0,2009.0,65000.0,1086.0,3565.0,1595.0,1550.0,5.0,35.0,Petrol,Manual,Second,Individual,FWD,0
1920.0,2008.0,50000.0,1061.0,3520.0,1475.0,1690.0,5.0,35.0,Petrol,Manual,Second,Individual,FWD,0
37200.0,2019.0,24000.0,1991.0,4424.0,1804.0,1494.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,2
156000.0,2021.0,20000.0,2925.0,5207.0,2157.0,1823.0,7.0,90.0,Diesel,Automatic,First,Individual,AWD,2
9180.0,2015.0,60240.0,1197.0,4384.0,1699.0,1466.0,5.0,55.0,Petrol,Automatic,First,Individual,FWD,0
16800.0,2014.0,35000.0,1995.0,4624.0,2031.0,1429.0,5.0,60.0,Diesel,Automatic,First,Individual,RWD,3
8940.0,2018.0,54000.0,1497.0,4453.0,1735.0,1666.0,7.0,42.0,Petrol,Automatic,First,Individual,FWD,0
46800.0,2017.0,31059.0,2494.0,4915.0,1820.0,1450.0,5.0,65.0,Petrol,Automatic,First,Individual,RWD,1
21179.988,2021.0,1942.0,1498.0,4323.0,1809.0,1650.0,5.0,48.0,Petrol,Automatic,First,Individual,FWD,2
5819.988,2013.0,78000.0,1199.0,3970.0,1682.0,1453.0,5.0,45.0,Diesel,Manual,Second,Individual,FWD,0
9420.0,2018.0,23000.0,1199.0,3955.0,1694.0,1544.0,5.0,40.0,Petrol,Automatic,First,Individual,FWD,0
1920.0,2008.0,90000.0,2494.0,4555.0,1770.0,1755.0,8.0,55.0,Diesel,Manual,Fourth,Individual,FWD,1
21300.0,2015.0,80000.0,1968.0,4385.0,1831.0,1608.0,5.0,64.0,Diesel,Automatic,First,Individual,AWD,2
42600.0,2020.0,55000.0,2755.0,4795.0,1855.0,1835.0,7.0,80.0,Diesel,Automatic,First,Corporate,RWD,1
4500.0,2018.0,14000.0,999.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,0
7620.0,2016.0,92000.0,1248.0,4490.0,1730.0,1485.0,5.0,43.0,Diesel,Manual,Second,Individual,FWD,0
10320.0,2018.0,33030.0,1248.0,3995.0,1790.0,1640.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,0
14280.0,2017.0,41470.0,2179.0,4585.0,1890.0,1785.0,7.0,70.0,Diesel,Automatic,First,Individual,FWD,1
46800.0,2015.0,39000.0,2993.0,5252.0,1899.0,1457.0,5.0,83.0,Diesel,Automatic,First,Individual,RWD,4
5100.0,2015.0,80000.0,1197.0,3850.0,1695.0,1530.0,5.0,42.0,Petrol,Manual,Second,Individual,FWD,0
29400.0,2014.0,48600.0,2967.0,5089.0,1983.0,1737.0,6.0,100.0,Diesel,Automatic,Second,Individual,AWD,2
42000.0,2014.0,160000.0,4806.0,4846.0,1939.0,1702.0,5.0,100.0,Petrol,Automatic,First,Individual,AWD,1
5988.0,2012.0,96506.0,1497.0,4440.0,1695.0,1485.0,5.0,42.0,Petrol,Manual,Second,Individual,FWD,0
6180.0,2015.0,63587.0,1498.0,3990.0,1680.0,1505.0,5.0,35.0,Diesel,Manual,First,Individual,FWD,0
5880.0,2019.0,32000.0,999.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Automatic,First,Individual,FWD,0
2280.0,2013.0,66000.0,995.0,3495.0,1495.0,1518.0,5.0,38.0,Petrol,Manual,First,Individual,FWD,0
11400.0,2016.0,86000.0,2179.0,4585.0,1890.0,1785.0,7.0,70.0,Diesel,Manual,First,Individual,FWD,1
2580.0,2012.0,20000.0,814.0,3495.0,1550.0,1500.0,5.0,32.0,Petrol,Manual,First,Individual,FWD,0
3840.0,2011.0,75000.0,1991.0,4597.0,1788.0,1477.0,5.0,60.0,Diesel,Manual,Second,Individual,FWD,0
84000.0,2021.0,14500.0,1997.0,4600.0,2069.0,1724.0,7.0,70.0,Petrol,Automatic,First,Individual,AWD,4
15060.0,2021.0,10000.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Corporate,FWD,0
